years_experience,education_level,certifications,salary_lpa
8.71,2,0,21.41
6.4,2,0,18.57
13.17,0,0,19.21
6.17,1,4,15.94
13.84,2,4,24.15
1.03,0,0,7.56
6.45,2,3,19.32
7.79,1,2,17.08
14.26,2,4,24.11
3.76,0,2,11.4
12.09,0,4,21.13
10.15,0,3,19.81
10.76,1,1,22.41
9.44,2,3,21.41
14.57,1,1,21.6
4.99,1,3,15.92
5.97,2,1,19.16
3.04,2,2,14.34
0.76,0,1,5.83
3.19,0,3,12.29
13.73,2,4,24.21
12.6,0,4,22.68
1.69,2,2,10.31
9.06,0,2,17.03
7.19,0,1,17.43
8.92,0,1,17.23
9.89,0,3,20.57
4.6,0,4,14.13
14.42,0,1,20.46
6.99,2,1,17.52
9.42,2,0,22.1
9.53,2,5,21.09
2.76,2,4,15.37
0.93,2,0,10.33
6.17,2,4,18.21
11.46,1,1,19.82
12.23,1,1,22.88
10.95,2,2,22.62
1.7,1,3,8.57
13.7,2,3,23.96
12.03,2,0,21.7
13.17,1,4,22.33
7.85,1,2,19.25
13.73,0,5,23.06
0.7,2,3,10.49
0.45,2,5,8.26
0.3,1,1,6.38
3.79,2,3,15.13
3.73,1,2,15.02
2.81,1,5,11.11
8.51,1,3,19.73
0.58,0,4,7.95
8.86,0,3,18.14
2.49,1,4,10.86
10.17,2,0,21.82
0.32,0,1,4.34
4.66,2,4,18.36
14.08,1,1,20.41
8.08,1,0,17.32
12.17,2,3,22.07
9.87,2,5,23.67
9.16,2,1,20.42
2.87,2,1,14.43
8.62,0,4,20.0
0.6,1,1,8.65
12.02,1,4,21.43
14.4,0,1,18.63
12.81,1,1,21.27
0.76,0,5,8.8
5.08,1,3,16.59
4.77,0,1,11.5
1.69,0,2,8.83
9.4,0,3,20.45
11.96,2,0,24.27
4.71,1,5,16.47
12.94,1,2,23.32
11.96,2,5,25.31
1.94,0,4,8.67
11.5,0,0,17.94
13.24,1,4,23.5
2.96,2,3,12.45
8.6,2,5,21.46
9.58,2,3,23.88
9.14,1,1,19.86
1.44,2,4,11.3
9.92,0,1,20.35
9.48,1,2,19.44
12.36,1,3,23.93
12.05,0,1,21.4
4.91,0,5,14.0
10.83,2,0,21.41
13.01,2,2,22.18
13.39,0,0,21.51
2.42,0,4,8.96
0.4,0,3,4.0
9.76,0,0,19.73
3.22,2,0,13.66
8.46,0,4,19.06
14.17,2,1,24.25
5.69,2,5,16.94
3.79,0,1,10.09
6.85,0,3,16.45
9.86,0,0,16.78
1.52,2,3,11.08
5.71,2,0,17.97
2.01,2,1,11.98
9.94,0,5,20.38
12.46,2,5,22.63
5.65,2,2,16.69
5.58,1,5,18.37
8.09,0,1,15.84
3.23,0,3,11.34
3.71,2,4,13.71
4.95,1,5,17.63
6.86,0,0,14.38
1.22,2,3,10.15
11.29,1,1,21.25
8.69,1,2,20.34
4.5,0,5,15.45
1.16,1,3,9.71
11.45,1,5,21.81
1.97,0,1,6.81
2.0,2,3,12.74
1.96,1,5,12.73
1.22,0,0,4.83
13.6,0,5,22.54
4.04,0,1,10.8
4.6,2,2,15.98
12.49,2,0,22.86
9.3,2,5,22.88
2.81,1,1,13.15
6.52,2,5,20.33
13.26,0,0,19.6
5.63,1,0,16.28
10.66,1,0,20.31
1.45,1,4,9.42
10.91,1,3,20.99
11.65,2,1,22.73
12.39,2,0,21.96
10.11,2,1,20.95
5.56,0,0,12.65
0.96,2,4,10.03
7.78,2,5,20.33
11.36,2,2,24.13
2.86,1,2,13.04
3.99,0,3,11.93
8.04,2,1,20.57
11.22,0,1,20.99
13.45,1,0,21.02
1.89,1,3,10.48
2.76,2,4,13.5
11.99,0,3,21.04
9.67,2,4,24.11
10.81,0,0,17.72
14.95,1,3,24.2
14.09,0,4,21.9
12.65,0,3,21.79
11.66,0,0,19.94
5.93,2,0,18.74
9.62,1,5,20.6
2.77,2,1,13.56
11.39,0,1,18.78
11.37,0,3,20.25
10.82,2,4,23.88
6.67,2,5,18.76
5.67,1,4,15.19
6.3,0,4,17.13
0.5,2,5,10.69
12.66,1,3,22.83
8.14,0,3,17.19
5.81,2,3,18.72
8.22,1,1,17.32
10.82,1,0,21.11
5.72,1,0,15.91
12.46,0,5,21.69
13.79,1,1,21.69
5.81,0,0,13.26
2.07,1,0,10.54
11.41,0,0,19.21
14.89,2,2,24.61
2.22,0,4,9.23
10.69,1,4,20.16
12.38,0,4,21.09
13.81,0,5,22.02
1.85,0,4,10.53
1.38,2,1,11.58
14.82,0,2,19.14
1.75,2,3,12.5
2.65,1,1,10.25
8.62,1,4,20.8
6.69,0,0,14.93
11.26,1,1,20.42
2.86,2,5,14.13
13.72,2,1,23.48
3.26,2,5,15.57
11.54,1,5,22.89
1.01,0,1,7.1
7.1,0,5,16.92
0.49,1,5,8.69
4.71,1,5,15.14
4.68,1,2,15.15
10.8,1,5,21.86
6.83,0,1,16.05
0.85,1,2,6.18
14.93,0,3,21.02
13.33,2,2,22.59
13.74,2,0,22.66
3.7,2,4,13.78
5.91,1,2,17.05
3.41,2,4,16.24
1.87,2,1,10.64
0.5,1,1,5.45
7.55,0,4,17.97
1.85,2,4,10.66
2.64,1,3,13.1
12.91,1,3,20.94
7.26,2,5,20.03
2.76,2,5,13.97
10.05,2,5,21.66
3.99,0,5,12.43
7.9,0,1,16.19
4.24,1,4,15.45
7.74,1,1,20.09
9.43,0,5,19.08
8.04,1,5,20.89
5.93,1,2,15.22
11.86,2,3,23.73
13.1,2,0,22.71
2.69,0,0,8.61
2.04,1,1,11.14
1.7,0,0,8.41
14.69,0,2,19.42
14.12,2,5,23.86
3.46,1,4,14.56
14.55,1,3,24.31
3.12,2,4,14.73
7.6,1,0,19.22
7.46,2,3,21.88
13.72,2,3,24.83
0.61,2,0,8.83
4.73,0,3,12.62
9.0,1,3,19.66
1.0,0,2,7.16
3.55,2,5,16.9
6.98,1,5,17.98
13.21,0,2,20.2
11.41,0,5,19.12
12.43,0,1,20.77
11.42,0,0,19.14
10.62,0,3,20.87
12.75,1,0,20.4
10.22,0,1,19.53
11.04,2,2,23.37
4.52,1,4,14.99
2.51,1,5,10.94
11.35,1,5,21.96
2.49,1,3,12.29
13.79,2,5,23.46
8.95,0,4,17.41
4.94,1,5,15.91
14.05,1,3,21.55
2.33,2,0,12.8
7.72,2,1,20.95
1.37,2,2,12.08
14.48,1,4,24.05
8.63,0,2,18.53
12.05,2,0,21.5
4.23,2,2,16.73
12.03,1,4,23.13
10.54,1,5,22.75
9.66,0,1,19.26
14.26,1,1,23.11
6.5,1,2,16.51
6.23,2,2,19.01
10.38,1,5,21.82
12.53,0,2,19.81
5.03,0,3,13.44
10.04,1,1,19.09
3.14,1,0,11.63
8.28,2,2,20.2
11.54,2,2,22.72
0.98,1,1,9.15
10.92,0,3,20.63
0.23,2,1,8.45
14.38,1,0,23.37
7.03,2,3,18.64
6.14,2,1,18.0
10.81,0,4,18.75
7.85,1,0,17.76
10.96,1,4,23.43
1.27,0,3,6.09
8.44,2,4,22.36
8.37,1,2,20.58
13.98,2,5,24.63
0.59,1,3,8.75
6.79,1,5,18.27
9.47,2,1,20.88
8.26,0,5,18.58
1.11,1,3,7.66
8.9,0,5,18.44
3.33,0,1,10.1
2.93,2,3,15.47
13.18,2,5,23.87
2.97,2,1,12.19
6.81,2,5,21.59
11.25,1,5,20.96
10.61,0,2,21.18
8.3,1,4,21.07
12.11,0,2,20.77
6.99,2,3,19.35
9.31,0,5,18.39
12.28,1,4,20.99
10.17,2,1,20.49
9.63,0,3,18.59
6.09,2,4,18.48
8.37,2,3,22.59
5.94,0,1,14.85
11.16,1,4,23.68
5.71,0,4,16.11
7.0,2,3,18.35
11.33,0,2,20.09
7.55,1,3,17.51
5.07,1,3,13.97
12.4,1,1,23.15
5.71,2,5,18.04
12.67,2,3,22.62
11.78,0,0,18.07
6.71,2,1,19.23
10.69,0,4,20.01
0.52,0,4,4.56
5.85,1,3,17.47
12.91,2,2,22.62
8.69,1,2,20.57
8.37,1,5,20.12
9.97,2,2,22.21
10.17,1,4,21.16
8.75,1,0,19.64
6.31,2,3,20.56
2.75,0,1,10.86
4.39,2,2,14.26
4.39,1,3,14.6
6.46,1,0,15.63
14.99,2,0,21.69
5.29,2,3,16.34
6.71,2,4,18.68
5.57,2,0,18.59
8.72,0,5,19.86
14.22,1,2,23.49
13.34,2,5,25.22
5.66,0,0,13.38
4.0,0,5,12.71
13.27,2,3,23.67
7.41,2,4,19.64
10.28,0,4,19.61
1.1,0,1,7.6
13.0,1,1,20.2
4.69,2,5,16.37
7.42,1,2,18.22
2.97,0,1,10.81
